,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
629,0.09205040931701661,0.0007174968719482422,0.15950532452234478,0.16639670821360014,0.0001,"(30,)",11,"{'pca__n_components': 11, 'NN__hidden_layer_sizes': (30,), 'NN__alpha': 0.0001}",129,0.14043192765914927,0.1700865542783493,0.1884978095675091,0.18310842666558594,0.14914632213539725,0.1502290985862966,0.16570789921013454,0.14561578688919224,0.15365964232039303,0.1829436746485767,0.011885068066191154,1.3092284711601521e-05,0.01667715913854617,0.01587411029287838
630,0.08115010261535645,0.0007651805877685547,0.10694029690108488,0.11159135250619265,0.0001,"(40,)",2,"{'pca__n_components': 2, 'NN__hidden_layer_sizes': (40,), 'NN__alpha': 0.0001}",746,0.1047738685202492,0.10870936481478864,0.12011169782191988,0.09849926365602672,0.09101703000398767,0.1053964665604662,0.10282938308396153,0.09643685157553628,0.11601682419849009,0.14891481592414546,0.026629915279348007,0.0001134716752537392,0.010310263355602705,0.019187418145040405
631,0.07456121444702149,0.0007229804992675781,0.12445406874854863,0.12164803241205346,0.0001,"(40,)",3,"{'pca__n_components': 3, 'NN__hidden_layer_sizes': (40,), 'NN__alpha': 0.0001}",521,0.11177261678386677,0.11885974312198291,0.1822322675754549,0.14031370347426186,0.1095908982001889,0.12964259916408644,0.11516996379507846,0.10999220941459184,0.10304124060595299,0.10943190688534432,0.007251959406522486,1.166312887139073e-05,0.02925543492600067,0.011875915657774495
632,0.08952546119689941,0.0007521629333496094,0.15418184304489738,0.15854992862711717,0.0001,"(40,)",4,"{'pca__n_components': 4, 'NN__hidden_layer_sizes': (40,), 'NN__alpha': 0.0001}",176,0.12987210757108142,0.14313173031226084,0.17390958825079958,0.1757758776969726,0.18302462355968957,0.14819334034288184,0.1443199473914297,0.15497963679630256,0.139591341379685,0.17066905798716797,0.009320248530920646,1.0638278677263268e-05,0.020622655314662577,0.012659647402084142
633,0.06702170372009278,0.0008888721466064453,0.1872697651388353,0.20271175049997953,0.0001,"(40,)",5,"{'pca__n_components': 5, 'NN__hidden_layer_sizes': (40,), 'NN__alpha': 0.0001}",9,0.11198373407336891,0.13272272154514844,0.3200060765901006,0.2604580321767007,0.18005218872841416,0.21143679637839477,0.177124194565807,0.1732575016397994,0.1464401129571741,0.23568370075985434,0.009240293883843273,0.00013636303892088032,0.07102032566810594,0.04530767247821266
634,0.09064083099365235,0.000794219970703125,0.15084131468050488,0.1640244694264415,0.0001,"(40,)",6,"{'pca__n_components': 6, 'NN__hidden_layer_sizes': (40,), 'NN__alpha': 0.0001}",198,0.1452378160378009,0.1707782069922537,0.12610203252724514,0.15043415270445154,0.13749596793369406,0.15085216371078772,0.16502051612292687,0.16418834909711844,0.18087612520986718,0.1838694746275962,0.021129467537551162,0.0001315432373058205,0.01958991580051207,0.012630680152381555
635,0.1252960205078125,0.0007472515106201171,0.17733145470176812,0.17429264839169387,0.0001,"(40,)",7,"{'pca__n_components': 7, 'NN__hidden_layer_sizes': (40,), 'NN__alpha': 0.0001}",36,0.1661766726762475,0.17103823966414347,0.17732872605683803,0.18118732224296757,0.1789443551240303,0.17058855626414057,0.19510579988720508,0.17775777688125413,0.16911848913623562,0.17089134690596358,0.02394134073985278,1.2426526382723235e-05,0.01009622327738397,0.004368614641205817
636,0.11769428253173828,0.0007380962371826172,0.18062926854080127,0.17876072828557493,0.0001,"(40,)",8,"{'pca__n_components': 8, 'NN__hidden_layer_sizes': (40,), 'NN__alpha': 0.0001}",25,0.17547819198109144,0.17456971067607677,0.16785451972523602,0.19145589668537302,0.20948090720149196,0.16820701857684697,0.17700155043586016,0.1667269999931345,0.17330114894028298,0.1928440154964434,0.013162483717688269,1.1642445743001269e-05,0.01477004576937364,0.011253997629274202
637,0.08072562217712402,0.0007281780242919921,0.14529770463832542,0.14591743284750644,0.0001,"(40,)",9,"{'pca__n_components': 9, 'NN__hidden_layer_sizes': (40,), 'NN__alpha': 0.0001}",266,0.12451801581331891,0.14364719378428523,0.1682977308176595,0.16834190297894572,0.1438304736848628,0.12652659871279318,0.14264087151803864,0.13816800295071854,0.1472047278387105,0.15290346581078962,0.014502729857799827,4.091918554863918e-06,0.013991835644840604,0.01409165437277865
638,0.07200760841369629,0.0007966995239257812,0.13492482761822083,0.134547364498777,0.0001,"(40,)",10,"{'pca__n_components': 10, 'NN__hidden_layer_sizes': (40,), 'NN__alpha': 0.0001}",414,0.1138247297871383,0.12422163974326635,0.1206013987147982,0.12250728101154035,0.13865520680862575,0.1566607234606572,0.161280561685737,0.13295670871330298,0.1405697173842586,0.13639046956511808,0.008907341697200134,0.00010919233591791182,0.016687776031502462,0.012218936686934719
639,0.09158091545104981,0.0007359027862548828,0.14635102652697138,0.1648346714450637,0.0001,"(40,)",11,"{'pca__n_components': 11, 'NN__hidden_layer_sizes': (40,), 'NN__alpha': 0.0001}",245,0.13952157751138736,0.17179745726385498,0.1204785556577623,0.14777482149438378,0.12959127914861124,0.14753783699556264,0.1709092861443118,0.17280828107661914,0.17177605631681406,0.18425496039489792,0.009507747707865919,5.953021170345537e-06,0.021179356149560454,0.01469302842931305
640,0.07570652961730957,0.0009219169616699219,0.06217589359324674,0.0681848653578845,0.0001,"(10, 10)",2,"{'pca__n_components': 2, 'NN__hidden_layer_sizes': (10, 10), 'NN__alpha': 0.0001}",797,0.047381173162633385,0.05259439620410623,0.04764431865086377,0.047969683764137946,0.04761904761904754,0.04816924527686878,0.047218326320710526,0.048265878553861725,0.12177111151716685,0.1439251229904478,0.03377265208110739,0.00011359111856521582,0.02960846388897591,0.03790961356721147
641,0.10744915008544922,0.0007056236267089844,0.12957195600566865,0.13802980186805197,0.0001,"(10, 10)",3,"{'pca__n_components': 3, 'NN__hidden_layer_sizes': (10, 10), 'NN__alpha': 0.0001}",481,0.16419258753105212,0.15774922355733043,0.11471894772941513,0.11016818867099752,0.10852057488835966,0.11586391962146066,0.12755004172382958,0.12992261735594365,0.13283070119489274,0.17644506013452763,0.013368201948365084,9.817056894679195e-06,0.019418637880771587,0.025289958188439186
642,0.09256792068481445,0.0007676124572753906,0.14859706712029916,0.16358359989702548,0.0001,"(10, 10)",4,"{'pca__n_components': 4, 'NN__hidden_layer_sizes': (10, 10), 'NN__alpha': 0.0001}",223,0.1289698662349459,0.13148253594359913,0.1412401536568307,0.17319842205339744,0.16296375802342952,0.16638126796306443,0.1618338542076099,0.17502010737522603,0.14812933514077956,0.1718356661498403,0.03505705741530896,0.00010943019045393261,0.012833551733123527,0.016307301183139694
643,0.11849007606506348,0.0007039546966552734,0.14247877773951598,0.14936956130142592,0.0001,"(10, 10)",5,"{'pca__n_components': 5, 'NN__hidden_layer_sizes': (10, 10), 'NN__alpha': 0.0001}",294,0.15649141309853293,0.18263683267358866,0.1801919610722045,0.16366410683620503,0.12968643108578753,0.12507879312446044,0.13140455668571815,0.13524738957389976,0.11404095840475151,0.14022068429897586,0.018022324015115828,6.3913969153958094e-06,0.023299089684999826,0.0209008348155272
644,0.10133943557739258,0.0007111072540283203,0.10983536301042877,0.11409925965626533,0.0001,"(10, 10)",6,"{'pca__n_components': 6, 'NN__hidden_layer_sizes': (10, 10), 'NN__alpha': 0.0001}",730,0.11287181764096078,0.11878132958865951,0.11871899566480817,0.11829763021144324,0.10306623726420026,0.10970042306682262,0.1142314420740572,0.11538596450738729,0.10014537723014029,0.10833095090701401,0.013023064230357415,1.6833499836869407e-05,0.0070247472515925545,0.004331901492684813
645,0.09159817695617675,0.0007095813751220703,0.10985028445940523,0.10875500431635106,0.0001,"(10, 10)",7,"{'pca__n_components': 7, 'NN__hidden_layer_sizes': (10, 10), 'NN__alpha': 0.0001}",727,0.10541420386322545,0.11122632850398453,0.11630853206848335,0.11104030787642491,0.11262307267278936,0.11393740697807911,0.09951122640863994,0.0942492600460943,0.11541126903649584,0.11332171817717245,0.014647294778974269,5.380870174139232e-06,0.006429301226995174,0.007341101351582874
