iter,LR0.9_E0.0_Time,LR0.9_E0.0_Rewards,LR0.9_E0.0_Steps,LR0.9_E0.0_Convergence,LR0.9_E0.5_Time,LR0.9_E0.5_Rewards,LR0.9_E0.5_Steps,LR0.9_E0.5_Convergence,LR0.9_E0.7_Time,LR0.9_E0.7_Rewards,LR0.9_E0.7_Steps,LR0.9_E0.7_Convergence,LR0.9_E0.9_Time,LR0.9_E0.9_Rewards,LR0.9_E0.9_Steps,LR0.9_E0.9_Convergence
46,0.015173071,-191.04,198.1,6.8333989139,0.010790892,-86.62,156.3,7.1359545479,0.010763248,-161.76,187,8.5424917408,0.010617063,-84.06,159.8,7.3266362523
47,0.015358606,-167.66,188.86,6.7134415017,0.010977185,40.46,61.54,7.0731838509,0.010922146,-140.5,179.88,9.0105662806,0.010790224,-171.46,188.62,7.6628671661
48,0.0154844,-6.02,108.02,6.5872535902,0.011084499,52.06,49.94,6.8951847688,0.011103316,-145.7,183.06,9.3581887792,0.010909183,-8.36,108.34,7.688173515
49,0.015620941,-30.04,125.98,6.4889710416,0.011184986,51.86,50.14,7.2265735473,0.011244753,-26.04,124,9.4443177831,0.011078696,20.08,81.92,7.9927313127
50,0.01582113,18.76,83.24,7.472754793,0.011309152,3.54,98.46,7.1692399672,0.011342575,-45.84,133.7,9.8255532874,0.01122828,19.06,82.94,8.0881265643
51,0.015972898,-28.78,122.7,7.672290551,0.011458422,20.78,81.22,7.0720010334,0.01152879,-106.16,167.76,9.9071544048,0.011377585,17.98,84.02,7.7872278111
52,0.016122911,32.6,69.4,7.9100029251,0.011585883,51.82,50.18,6.7654544413,0.011741545,-23.02,116.94,10.1562211717,0.011533972,-129.08,176.54,7.9646555513
53,0.016258437,-1.24,99.2,8.4471290421,0.011706562,9.2,92.8,6.773460392,0.011923987,-180.5,193.62,10.8662718272,0.011787607,2.6,97.38,8.1381812798
54,0.016482404,-12.68,110.64,8.1325111139,0.01185078,-17.7,115.66,7.1143178328,0.012055676,-118.4,173.94,11.1847734085,0.011919426,37.88,64.12,8.1740631157
55,0.016698164,-86.44,156.12,8.0350781503,0.01198836,17.28,84.72,6.8767732681,0.012430882,-189.48,198.56,10.6342626892,0.012085801,-117.5,175.06,7.8833774902
56,0.016914028,-134.02,177.44,8.1330623059,0.012101279,15.66,86.34,6.9612526894,0.01257306,-188.38,197.46,10.6173042723,0.012214694,11.24,88.74,7.7894951253
57,0.017048339,34.3,67.7,8.9419201927,0.012226924,-13.44,111.4,6.8356568965,0.012775968,-179.66,192.78,10.3815768382,0.012337181,-96.24,165.92,7.691890836
58,0.017198127,-19.74,119.72,9.1296509092,0.012386259,-45.18,131.02,7.2093216986,0.012868814,20.52,81.48,9.8083791486,0.012449341,-176.46,189.58,7.5825595812
59,0.017355285,-39.78,129.66,9.2587830929,0.012552842,-103.8,169.44,7.4839795245,0.012997491,15.98,86.02,10.1958264533,0.012569841,-26.74,120.66,7.9342734557
60,0.017500056,53.26,48.74,8.5848546582,0.012731917,-154.46,183.74,7.6272090004,0.013141866,-124.76,176.26,10.6139255552,0.012740468,-13.64,113.62,8.206377882
61,0.017618736,14.86,85.12,8.7635599514,0.012858879,-189,198.08,7.7707823498,0.013317414,-1.18,103.18,11.0443236634,0.012862156,-4.88,104.86,8.5242194855
62,0.01771161,37.56,64.44,8.5272364925,0.013138034,-178.74,191.86,7.7920998623,0.013406739,26.36,75.64,10.6302790901,0.013019924,21.16,80.84,8.5313864688
