iter,LR0.1_E0.0_Time,LR0.1_E0.0_Rewards,LR0.1_E0.0_Steps,LR0.1_E0.0_Convergence,LR0.1_E0.5_Time,LR0.1_E0.5_Rewards,LR0.1_E0.5_Steps,LR0.1_E0.5_Convergence,LR0.1_E0.7_Time,LR0.1_E0.7_Rewards,LR0.1_E0.7_Steps,LR0.1_E0.7_Convergence,LR0.1_E0.9_Time,LR0.1_E0.9_Rewards,LR0.1_E0.9_Steps,LR0.1_E0.9_Convergence
103,0.043486765,-179.7,192.82,0.3451774492,0.035998025,-196,199.02,0.4225753084,0.035803036,-4.34,100.28,0.4108558712,0.033544089,-72.8,148.54,0.3744344663
104,0.043782762,-15.58,111.52,0.3455372777,0.036135513,-130.38,171.78,0.4224416791,0.035969482,-108.86,170.46,0.4272731685,0.033786193,-133.66,179.1,0.3760109678
105,0.043982557,-15.68,113.64,0.3482383162,0.036227444,-115.22,170.76,0.4299502859,0.036157819,-126.42,173.88,0.4226917037,0.033964255,-162.06,185.28,0.3823859534
106,0.044181417,-131.16,176.6,0.3422005526,0.036384737,-118.32,169.82,0.4194577219,0.036316509,-54.58,142.44,0.4260472916,0.034076836,-76.1,147.8,0.373068669
107,0.044433638,-21.32,117.26,0.3436899103,0.036574049,-115.94,175.52,0.4225185786,0.03648204,-133.32,172.7,0.4232429789,0.034234957,-2.42,100.38,0.3767878412
108,0.044588393,38.26,63.74,0.3622961158,0.036672933,-137.78,177.16,0.4206082056,0.036592497,-179.18,194.32,0.4180666282,0.034539474,-79.36,153.08,0.3784160723
109,0.044737906,-24.92,116.82,0.3867851289,0.036825304,-123.36,174.86,0.4139889458,0.036755523,-150.82,186.16,0.4199653619,0.034684428,-151.98,183.28,0.3817640549
110,0.04485654,-2.76,100.72,0.3794182353,0.036944005,-105.16,166.76,0.4051853974,0.036895369,-88.62,162.34,0.4235328308,0.034986903,-76.66,148.36,0.3833814857
111,0.044976404,-34.28,128.2,0.3782916871,0.037052353,-138.28,179.68,0.3980315159,0.037096742,-174.14,191.3,0.4255354715,0.035129637,-178.72,193.86,0.3885892077
112,0.045099438,-56.26,142.1,0.4022250563,0.037188311,-100.28,155.82,0.4004203224,0.037222066,-105.9,169.52,0.4348035347,0.035365262,-38.06,127.94,0.4024008514
113,0.045248818,19.92,82.08,0.422028277,0.037345668,-141.12,176.46,0.3849672313,0.037361053,-111.46,173.06,0.427306989,0.035496459,-54.88,138.7,0.3917754326
114,0.045346967,8.34,91.64,0.4286795143,0.037473407,-67.32,151.14,0.3782588233,0.037514499,-36.68,126.56,0.4140750172,0.035613147,-0.14,100.12,0.3869736442
115,0.045468644,-17.54,115.5,0.4169708844,0.037642064,-0.92,100.9,0.3748752578,0.037638888,-121.42,170.9,0.4086125084,0.035778136,-173.58,190.74,0.3845119221
116,0.045617021,-2.62,100.58,0.4262422447,0.037800992,-171.9,189.06,0.349899783,0.03780311,-148.5,179.8,0.4047995002,0.035968905,-187.28,196.36,0.3971669744
117,0.045755596,-112.96,168.5,0.4211510058,0.038073791,35.16,66.84,0.3480377958,0.037942669,-116.44,165.92,0.4173859611,0.036089417,-152.48,179.74,0.3983068151
118,0.045886808,2.78,99.22,0.4164834348,0.038215953,-47.7,139.6,0.3338697416,0.038052588,-69.34,145.08,0.4128056893,0.036237167,-43.14,128.98,0.3938367525
119,0.046041525,-48.98,130.78,0.4065370386,0.038341242,12.8,89.2,0.3319975224,0.038197092,-194.22,197.24,0.4137676093,0.036396912,-24.28,122.24,0.3781165059
120,0.046169063,19.74,82.26,0.4119825899,0.038559285,-81.28,155,0.3392529151,0.038341595,-17.54,113.48,0.4086746224,0.036540849,-134.9,172.26,0.3834457739
121,0.046357425,30.62,71.38,0.4122574408,0.038681742,4,98,0.3411649642,0.038471071,51.64,50.36,0.3964930851,0.036715043,-155.62,186.92,0.396370786
122,0.046475276,-0.06,102.06,0.4038554992,0.038809211,35.66,66.34,0.3474375428,0.038612489,-172.82,189.98,0.3932289142,0.036845663,-151.36,182.66,0.388270456
123,0.046621739,39.28,62.72,0.385706708,0.038953454,-179.82,194.96,0.3539375753,0.038709125,-98.78,160.38,0.3953578765,0.036968683,-138.7,180.1,0.3948537615
