iter,E0.1_Steps,E0.1_Time,E0.1_Rewards,E0.1_Convergence,E0.3_Steps,E0.3_Time,E0.3_Rewards,E0.3_Convergence,E0.5_Steps,E0.5_Time,E0.5_Rewards,E0.5_Convergence
54,35,0.001623,65,1.1972434893,33,0.001517,67,0.9697765712,39,0.00181,-38,0.8727986743
55,15,0.000726,85,1.0775191404,35,0.001618,-34,0.872798914,17,0.000818,83,0.7855188069
56,16,0.000769,84,0.9697672263,42,0.001914,58,0.7855190226,45,0.002098,-44,0.7069669262
57,68,0.003108,-67,0.8727905037,38,0.001752,-136,0.7069671204,32,0.001499,68,0.6362702336
58,15,0.000724,85,0.7855114533,27,0.001257,73,0.6362704083,16,0.000782,84,0.5726432102
59,18,0.000866,82,0.706960308,31,0.001434,69,0.5726433675,34,0.001584,-33,0.5153788892
60,38,0.001756,62,0.6362642772,24,0.001122,76,0.5153790308,25,0.001179,75,0.4638410003
61,26,0.001215,74,0.5726378495,15,0.000721,85,0.4638411277,24,0.001143,76,0.4174569003
62,22,0.001036,78,0.5153740645,29,0.001345,71,0.4174570149,23,0.001091,-22,0.3757112102
63,25,0.001165,75,0.4638366581,46,0.002087,-45,0.3757113134,39,0.001821,-137,0.3381400892
64,25,0.001176,75,0.4174529923,33,0.001527,-32,0.3381401821,16,0.000777,84,0.3043260803
65,21,0.000997,79,0.375707693,17,0.00081,83,0.3043261639,21,0.001008,79,0.2738934723
66,21,0.001006,79,0.3381369237,37,0.0017,-135,0.2738935475,41,0.001901,-139,0.246504125
67,37,0.001722,63,0.3043232314,30,0.001402,70,0.2465041927,27,0.001269,73,0.2218537125
68,14,0.000685,86,0.2738909082,31,0.001446,-129,0.2218537735,29,0.001368,-28,0.1996683413
69,19,0.000908,81,0.2465018174,16,0.000775,84,0.1996683961,63,0.002916,-161,0.1797015072
70,21,0.000999,79,0.2218516357,14,0.000684,86,0.1797015565,14,0.000692,86,0.1617313564
71,19,0.000903,81,0.1996664721,20,0.000951,80,0.1617314009,65,0.002998,-361,0.1455582208
72,32,0.001483,68,0.1796998249,46,0.002133,-144,0.1455582608,21,0.001005,79,0.1310023987
73,21,0.000993,79,0.1617298424,21,0.001001,79,0.1310024347,18,0.00087,82,0.1179021588
74,15,0.000727,85,0.1455568582,18,0.000861,82,0.1179021912,24,0.001139,76,0.106111943
75,14,0.000681,86,0.1310011723,28,0.001294,-27,0.1061119721,18,0.000864,82,0.0955007487
76,28,0.001318,72,0.1179010551,35,0.001611,-133,0.0955007749,18,0.000873,82,0.0859506738
77,18,0.000859,82,0.1061109496,39,0.001779,-137,0.0859506974,18,0.000868,82,0.0773556064
78,17,0.000823,83,0.0954998546,19,0.0009,81,0.0773556277,14,0.000688,86,0.0696200458
79,20,0.000948,80,0.0859498692,18,0.000855,82,0.0696200649,18,0.000865,82,0.0626580412
80,22,0.001053,78,0.0773548823,33,0.001522,-131,0.0626580584,18,0.00087,82,0.0563922371
81,47,0.002164,-46,0.069619394,18,0.000868,82,0.0563922526,19,0.00091,81,0.0507530134
82,21,0.000995,-20,0.0626574546,17,0.000817,83,0.0507530273,25,0.001186,-24,0.045677712
83,17,0.000817,83,0.0563917092,15,0.000724,85,0.0456777246,74,0.0034,-271,0.0411099408
84,15,0.000727,85,0.0507525382,25,0.001162,75,0.0411099521,42,0.001945,-41,0.0369989467
85,19,0.000915,81,0.0456772844,17,0.000812,83,0.0369989569,17,0.000823,83,0.0332990521
86,20,0.000947,80,0.041109556,33,0.001516,-32,0.0332990612,19,0.000913,-117,0.0299691469
87,20,0.000948,80,0.0369986004,20,0.000948,80,0.0299691551,46,0.002136,-45,0.0269722322
88,16,0.000772,84,0.0332987403,43,0.001976,-141,0.0269722396,14,0.000688,86,0.024275009
89,20,0.000965,80,0.0299688663,49,0.002234,-147,0.0242750156,17,0.000824,83,0.0218475081
90,22,0.001047,78,0.0269719797,16,0.00077,84,0.0218475141,50,0.002304,-148,0.0196627573
91,17,0.000818,83,0.0242747817,23,0.001079,-22,0.0196627627,20,0.000956,80,0.0176964815
92,18,0.000863,82,0.0218473035,23,0.001083,77,0.0176964864,14,0.000685,86,0.0159268334
93,17,0.000812,83,0.0196625732,15,0.000727,85,0.0159268378,32,0.001537,-31,0.01433415
94,16,0.000763,84,0.0176963159,16,0.000787,84,0.014334154,34,0.0016,-33,0.012900735
95,24,0.001114,76,0.0159266843,16,0.000772,84,0.0129007386,49,0.002275,-246,0.0116106615
96,17,0.000827,83,0.0143340159,18,0.000854,-17,0.0116106647,21,0.001002,-20,0.0104495954
97,16,0.000768,84,0.0129006143,14,0.000679,86,0.0104495982,16,0.000776,84,0.0094046358
98,20,0.000945,80,0.0116105528,18,0.000865,82,0.0094046384,23,0.001095,77,0.0084641723
99,15,0.000721,85,0.0104494976,18,0.000859,82,0.0084641746,19,0.000909,81,0.007617755
100,30,0.001402,-29,0.0094045478,21,0.000992,79,0.0076177571,32,0.001497,-31,0.0068559795
101,17,0.000811,83,0.008464093,19,0.000902,81,0.0068559814,23,0.001099,-22,0.0061703816
102,18,0.000855,82,0.0076176837,15,0.000727,85,0.0061703833,14,0.000687,86,0.0055533434
103,18,0.000859,82,0.0068559153,17,0.000816,83,0.0055533449,16,0.00078,84,0.0049980091
104,18,0.000856,82,0.0061703238,14,0.000677,86,0.0049980104,20,0.000957,-118,0.0044982082
105,17,0.000809,83,0.0055532914,37,0.001712,-36,0.0044982094,15,0.000734,85,0.0040483874
106,16,0.000766,84,0.0049979623,16,0.000768,84,0.0040483885,52,0.002406,-150,0.0036435486
107,21,0.001003,79,0.0044981661,14,0.000679,86,0.0036435496,14,0.000686,86,0.0032791938
108,19,0.000903,81,0.0040483495,90,0.004071,-89,0.0032791947,16,0.00079,84,0.0029512744
109,16,0.000767,84,0.0036435145,20,0.000945,80,0.0029512752,14,0.000686,86,0.0026561469
110,22,0.001029,78,0.0032791631,61,0.002774,-357,0.0026561477,16,0.000779,84,0.0023905322
111,15,0.000723,85,0.0029512468,16,0.000767,84,0.0023905329,20,0.000956,80,0.002151479
112,16,0.000769,84,0.0026561221,15,0.000725,85,0.0021514796,32,0.001515,-31,0.0019363311
113,17,0.000812,83,0.0023905099,32,0.001478,-31,0.0019363317,16,0.000785,-15,0.001742698
114,16,0.000766,84,0.0021514589,32,0.001481,-31,0.0017426985,17,0.000827,83,0.0015684282
115,14,0.000688,86,0.001936313,15,0.000727,85,0.0015684286,14,0.000689,86,0.0014115854
116,19,0.000904,81,0.0017426817,14,0.000681,86,0.0014115858,41,0.00192,-40,0.0012704268
117,15,0.000724,85,0.0015684135,14,0.000682,86,0.0012704272,15,0.000734,85,0.0011433842
118,26,0.001208,74,0.0014115722,14,0.000687,86,0.0011433845,18,0.000877,82,0.0010290457
119,14,0.000692,86,0.001270415,14,0.00068,86,0.001029046,17,0.000833,83,0.0009261412
120,14,0.000677,86,0.0011433735,14,0.000685,86,0.0009261414,17,0.000828,83,0.0008335271
121,14,0.000674,86,0.0010290361,20,0.000945,80,0.0008335273,18,0.00087,-17,0.0007501743
122,18,0.000851,82,0.0009261325,32,0.001482,-130,0.0007501746,18,0.000868,82,0.0006751569
123,20,0.000959,80,0.0008335193,17,0.000818,83,0.0006751571,18,0.000871,82,0.0006076412
124,17,0.000811,83,0.0007501673,20,0.000944,80,0.0006076414,14,0.000689,86,0.0005468771
125,16,0.000768,84,0.0006751506,18,0.000856,-17,0.0005468773,53,0.002458,-250,0.0004921894
126,14,0.000677,86,0.0006076355,33,0.001524,-32,0.0004921895,21,0.001007,-20,0.0004429705
