iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
240,4.26253674172e-07,6.75608966635e-07,4.68854525986e-07,1.0,1.0,1.0,1.0,1.0,1.0,53.132556827
250,3.36520881207e-07,5.16497029863e-07,3.6828284577e-07,1.0,1.0,1.0,1.0,1.0,1.0,55.338473221
260,2.45177970548e-07,4.13631362177e-07,3.02917547552e-07,1.0,1.0,1.0,1.0,1.0,1.0,57.556689262
270,1.72084361341e-07,3.19591237324e-07,2.20555108066e-07,1.0,1.0,1.0,1.0,1.0,1.0,59.761953769
280,2.3290283513e-07,3.19608946501e-07,2.74786046245e-07,1.0,1.0,1.0,1.0,1.0,1.0,61.957584568
290,1.43530825515e-07,2.41024273409e-07,1.63421684829e-07,1.0,1.0,1.0,1.0,1.0,1.0,64.156440131
300,1.3683423324e-07,2.05731681033e-07,1.83277815781e-07,1.0,1.0,1.0,1.0,1.0,1.0,66.350631871
310,1.22405066009e-07,1.87184496007e-07,1.60469897052e-07,1.0,1.0,1.0,1.0,1.0,1.0,68.469280867
320,1.33555197059e-07,2.16960078845e-07,1.74831028087e-07,1.0,1.0,1.0,1.0,1.0,1.0,70.659368119
330,6.22673937943e-08,1.07808261731e-07,9.45139666449e-08,1.0,1.0,1.0,1.0,1.0,1.0,72.851847619
340,4.02975010327e-08,7.7645200344e-08,6.89849465694e-08,1.0,1.0,1.0,1.0,1.0,1.0,75.043168648
350,5.31445865188e-08,1.14270331631e-07,8.63349452487e-08,1.0,1.0,1.0,1.0,1.0,1.0,77.232008573
360,2.94431330342e-08,7.77755965995e-08,5.02603305047e-08,1.0,1.0,1.0,1.0,1.0,1.0,79.339418844
370,2.78501495749e-08,7.89516895425e-08,5.32533530221e-08,1.0,1.0,1.0,1.0,1.0,1.0,81.444328835
380,1.26115634561e-08,5.91289198163e-08,2.08926178684e-08,1.0,1.0,1.0,1.0,1.0,1.0,83.54964003
390,1.10796794766e-08,4.29474441578e-08,1.8955050395e-08,1.0,1.0,1.0,1.0,1.0,1.0,85.681632983
400,6.18243232837e-09,2.3897934144e-08,1.12169017933e-08,1.0,1.0,1.0,1.0,1.0,1.0,87.852937434
410,2.86082324787e-09,8.62412664394e-09,4.06158496041e-09,1.0,1.0,1.0,1.0,1.0,1.0,90.022229329
420,6.02349963785e-10,1.13153856287e-09,7.53224689926e-10,1.0,1.0,1.0,1.0,1.0,1.0,92.192237411
430,3.26533619053e-10,1.02470886685e-09,3.76211956137e-10,1.0,1.0,1.0,1.0,1.0,1.0,94.315854146
440,1.58782222747e-10,4.12286667738e-10,2.3457177223e-10,1.0,1.0,1.0,1.0,1.0,1.0,96.429550947
450,9.23375492759e-11,1.63318658851e-10,1.14810966843e-10,1.0,1.0,1.0,1.0,1.0,1.0,98.541254416
460,7.53566911228e-12,2.8614006331e-11,2.17249815599e-11,1.0,1.0,1.0,1.0,1.0,1.0,100.651185751
470,2.44248310787e-12,2.28818677248e-11,6.85969820748e-12,1.0,1.0,1.0,1.0,1.0,1.0,102.909947684
480,7.95045414454e-13,1.44553397563e-12,1.41421907375e-12,1.0,1.0,1.0,1.0,1.0,1.0,105.159273272
490,4.50271386331e-13,7.89847982962e-13,7.63750468107e-13,1.0,1.0,1.0,1.0,1.0,1.0,107.40362251
500,3.27976544068e-13,5.23276946779e-13,4.57270097301e-13,1.0,1.0,1.0,1.0,1.0,1.0,109.630186574
