,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
637,0.06726932525634766,0.0008813858032226563,0.05797543998155035,0.05811135060825976,0.0001,"(40,)",9,"{'ica__n_components': 9, 'NN__hidden_layer_sizes': (40,), 'NN__alpha': 0.0001}",204,0.05073441515749628,0.05159032405115636,0.04731044256909123,0.04910347598357258,0.09650237371176634,0.09243434501896242,0.047619047619047714,0.0499032064799042,0.04761904761904746,0.04752540150770323,0.02036113312008277,0.00013564315011988556,0.019323039361939687,0.017211446692948787
638,0.08643298149108887,0.0008122920989990234,0.09193443367065904,0.09140175358083667,0.0001,"(40,)",10,"{'ica__n_components': 10, 'NN__hidden_layer_sizes': (40,), 'NN__alpha': 0.0001}",62,0.09492142828132019,0.09372670051433729,0.08020915092790197,0.08585016154677913,0.08349935327790338,0.08230189455271177,0.08820066804851125,0.08372013694977799,0.11310925922062656,0.11140987434057718,0.026888401751725126,0.00014060253348896116,0.011629177292425375,0.010755139395571477
639,0.06630749702453613,0.0009304523468017578,0.05015823322221349,0.04876244335355507,0.0001,"(40,)",11,"{'ica__n_components': 11, 'NN__hidden_layer_sizes': (40,), 'NN__alpha': 0.0001}",323,0.056638487831459444,0.05094229662517321,0.050774499263329685,0.04821082018327235,0.04761904761904754,0.049543547741595084,0.04761904761904752,0.04765049933060943,0.048078067356896244,0.047465052887125235,0.010360018013442242,0.00011716264502127786,0.0034577024916249114,0.0013104055864761868
640,0.05140643119812012,0.0008902072906494141,0.04777349881847829,0.04760215584183334,0.0001,"(10, 10)",2,"{'ica__n_components': 2, 'NN__hidden_layer_sizes': (10, 10), 'NN__alpha': 0.0001}",388,0.04838709677419346,0.04753458873297708,0.047619047619047554,0.04761904761904721,0.04761904761904754,0.04761904761904771,0.04761904761904752,0.04761904761904659,0.04761904761904751,0.04761904761904812,0.010775651443572934,9.906805796328303e-05,0.00030784889187467703,3.378355442813161e-05
641,0.03248591423034668,0.0009480953216552734,0.04761904761904753,0.04761904761904737,0.0001,"(10, 10)",3,"{'ica__n_components': 3, 'NN__hidden_layer_sizes': (10, 10), 'NN__alpha': 0.0001}",583,0.047619047619047526,0.04761904761904721,0.047619047619047554,0.04761904761904721,0.04761904761904754,0.04761904761904771,0.04761904761904752,0.04761904761904659,0.04761904761904751,0.04761904761904812,0.0008435400599734667,8.769915589983045e-06,1.5188222473579498e-17,5.181825478019e-16
642,0.03371772766113281,0.0009440422058105469,0.04761904761904759,0.04761904761904744,0.0001,"(10, 10)",4,"{'ica__n_components': 4, 'NN__hidden_layer_sizes': (10, 10), 'NN__alpha': 0.0001}",559,0.0476190476190476,0.047619047619047276,0.04761904761904762,0.047619047619047276,0.047619047619047734,0.04761904761904756,0.047619047619047575,0.04761904761904696,0.04761904761904741,0.047619047619048144,0.0011355631653665644,3.843201003953912e-06,1.0495696803856004e-16,3.9911610553856163e-16
643,0.04823799133300781,0.0008950710296630859,0.04761904761904753,0.04761904761904737,0.0001,"(10, 10)",5,"{'ica__n_components': 5, 'NN__hidden_layer_sizes': (10, 10), 'NN__alpha': 0.0001}",583,0.047619047619047526,0.04761904761904721,0.047619047619047554,0.04761904761904721,0.04761904761904754,0.04761904761904771,0.04761904761904752,0.04761904761904659,0.04761904761904751,0.04761904761904812,0.02015627844119965,0.0001061795904028841,1.5188222473579498e-17,5.181825478019e-16
644,0.06407184600830078,0.0008968830108642579,0.04792851082191362,0.04839661340078773,0.0001,"(10, 10)",6,"{'ica__n_components': 6, 'NN__hidden_layer_sizes': (10, 10), 'NN__alpha': 0.0001}",377,0.04997072388973945,0.04918060962252344,0.04714538301978964,0.04856891496599148,0.04721207230078569,0.04839323856272877,0.04768583450210388,0.048221256233646516,0.04761904761904746,0.04761904761904845,0.020827604363707456,0.00010644564804901379,0.0010466862637951793,0.0005059067059446968
645,0.043395471572875974,0.0009573459625244141,0.047619047619047714,0.04761904761904718,0.0001,"(10, 10)",7,"{'ica__n_components': 7, 'NN__hidden_layer_sizes': (10, 10), 'NN__alpha': 0.0001}",428,0.04761904761904781,0.047619047619046846,0.047619047619047825,0.047619047619046846,0.04761904761904777,0.04761904761904743,0.047619047619047714,0.047619047619046305,0.04761904761904746,0.04761904761904845,0.009208829621200119,1.5656387340262465e-05,1.3432272876169125e-16,7.295348589900901e-16
646,0.05088367462158203,0.00088958740234375,0.051011360816750506,0.04915744955948221,0.0001,"(10, 10)",8,"{'ica__n_components': 8, 'NN__hidden_layer_sizes': (10, 10), 'NN__alpha': 0.0001}",302,0.047619047619047526,0.04741213314634868,0.047619047619047554,0.04761904761904721,0.06410047056040954,0.05560246650863828,0.04761904761904752,0.04761904761904659,0.048078067356896244,0.047534552904330285,0.008926207037437997,0.00010840202472739552,0.00655335046175535,0.003223399679556846
