params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.6, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.305928999999992,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.028813000000014,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.269582000000014,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9, ""epsilon"": 0.1, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.108783000000017,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.0, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.170377999999914,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.1393170000000055,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.0978999999999814,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.375519999999938,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.266068000000018,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.228979999999979,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.251231999999959,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.347071000000028,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.300003000000061,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9, ""epsilon"": 0.3, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.118511000000012,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.0, ""epsilon"": 0.5, ""alpha"": 0.5, ""q_init"": 0, ""epsilon_decay"": 0.0001}",4.163118999999938,100,0.0,0.0,0.0,0.0,0.0
