,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
584,0.0826188564300537,0.001190185546875,0.13635314583510333,0.1410863667277937,0.001,"(40, 30)",6,"{'rp__n_components': 6, 'NN__hidden_layer_sizes': (40, 30), 'NN__alpha': 0.001}",257,0.10693687291258917,0.11153143759941957,0.12317828688024039,0.12647050787699124,0.17036554102797186,0.15796235272298356,0.15366682299813536,0.14953872535663099,0.12775140688861483,0.15992881008294313,0.010396239305195544,6.0747631661190355e-06,0.022695967969971025,0.018965210818876428
585,0.07987103462219239,0.0011909008026123047,0.1454069858837073,0.14546544417604895,0.001,"(40, 30)",7,"{'rp__n_components': 7, 'NN__hidden_layer_sizes': (40, 30), 'NN__alpha': 0.001}",176,0.16910469131933684,0.15684457417634098,0.14973205994643854,0.14597198204144343,0.11357508383182285,0.12774536058003208,0.19359117917451743,0.1857368418546701,0.10058541791946654,0.11102846222775813,0.022381002956050194,4.742504531098903e-05,0.03436022543420474,0.025500720536953507
586,0.09691915512084961,0.0011565208435058594,0.1505641727763449,0.1572557975598397,0.001,"(40, 30)",8,"{'rp__n_components': 8, 'NN__hidden_layer_sizes': (40, 30), 'NN__alpha': 0.001}",131,0.15030313064217538,0.1803257322284653,0.17188978264769592,0.1917002626159149,0.16818634937549817,0.1691610981506109,0.14399455660198882,0.12353567210439759,0.1179569830791985,0.12155622269980983,0.023007508981046133,9.003493709174255e-05,0.019307202104595033,0.02922973057244315
587,0.06862883567810059,0.0012115478515625,0.142339676542435,0.14846267962283927,0.001,"(40, 30)",9,"{'rp__n_components': 9, 'NN__hidden_layer_sizes': (40, 30), 'NN__alpha': 0.001}",198,0.14227139894194218,0.15737417330722303,0.15729817855537245,0.16117256166559285,0.14410375857382418,0.15958164921044632,0.16099692912042327,0.1523492091742359,0.10662429282140366,0.11183580475669826,0.003106165324973101,1.5487741366822732e-05,0.01917286116980636,0.018553815674041192
588,0.11860723495483398,0.0012087821960449219,0.16815672465410098,0.1738762746026454,0.001,"(40, 30)",10,"{'rp__n_components': 10, 'NN__hidden_layer_sizes': (40, 30), 'NN__alpha': 0.001}",49,0.14408041780953837,0.17018610561215342,0.18963870670587307,0.1946813586204172,0.19773657991838203,0.1962076009112966,0.1669664465234463,0.1635913808830134,0.1420611493474139,0.14471492698634647,0.04160391218208876,1.099624120327991e-05,0.022797584764691077,0.01950036018380757
589,0.12241063117980958,0.001207733154296875,0.17095958455065827,0.1817113772197624,0.001,"(40, 30)",11,"{'rp__n_components': 11, 'NN__hidden_layer_sizes': (40, 30), 'NN__alpha': 0.001}",35,0.16501731740598458,0.18723781721879112,0.19464395447426805,0.19622051389960785,0.1876585299038273,0.18115453907194753,0.19207201658116374,0.18338422943085317,0.11476068892861568,0.16055978647761227,0.016868406284220972,1.6633075281868563e-05,0.02983184362756931,0.011760568697335392
590,0.07992448806762695,0.0011475563049316406,0.09940761327109013,0.10287527391488974,0.001,"(40, 40)",2,"{'rp__n_components': 2, 'NN__hidden_layer_sizes': (40, 40), 'NN__alpha': 0.001}",733,0.10107202777071682,0.10204987068743145,0.062345252120164445,0.08224930852047382,0.10616782836627517,0.11155473999350482,0.11259559834253688,0.10786280416009432,0.11523259758649544,0.11065964621294418,0.018384105034776756,0.00012761496928834752,0.01924108739433802,0.010834359975290826
591,0.09480996131896972,0.0016241073608398438,0.10444925646983051,0.10395205998501197,0.001,"(40, 40)",3,"{'rp__n_components': 3, 'NN__hidden_layer_sizes': (40, 40), 'NN__alpha': 0.001}",661,0.10429033730895175,0.10351440496015633,0.11327593638148453,0.10797664426191944,0.10038476523277606,0.1030858676262871,0.1035182921318607,0.10265787705546794,0.10069546654856165,0.10252550602122913,0.022932309372586175,0.0007875447903800106,0.004684455494008238,0.002042012506902602
592,0.08891310691833496,0.001238870620727539,0.10310662034050055,0.10978945034730118,0.001,"(40, 40)",4,"{'rp__n_components': 4, 'NN__hidden_layer_sizes': (40, 40), 'NN__alpha': 0.001}",673,0.1091756731321017,0.10639157050169037,0.10857503314823413,0.12182599268986202,0.09842518131744038,0.10895395656508917,0.10452133208761356,0.10224423433527553,0.09469779913639212,0.10953149764458886,0.0123996136669697,7.2588963036548885e-06,0.005675180669679719,0.006543986753265136
593,0.14421310424804687,0.0012603759765625,0.1567677606867312,0.16416437552300572,0.001,"(40, 40)",5,"{'rp__n_components': 5, 'NN__hidden_layer_sizes': (40, 40), 'NN__alpha': 0.001}",92,0.16612881293992718,0.16666647495941952,0.17799289462352594,0.18297339730809728,0.132240595479318,0.12917368067937468,0.1539256344191502,0.15903143487997437,0.1533805932578907,0.18297688978816276,0.016348367883804407,2.2056283028455216e-05,0.015251369377772394,0.019822443342653193
594,0.10170660018920899,0.0012496471405029296,0.1602141529402709,0.17054938648538298,0.001,"(40, 40)",6,"{'rp__n_components': 6, 'NN__hidden_layer_sizes': (40, 40), 'NN__alpha': 0.001}",77,0.17557272292129042,0.18662764836302057,0.13179293127816522,0.15228768458414207,0.18199002330232406,0.18020662111374805,0.15647039695265494,0.15028207689694575,0.15522259739163688,0.18334290146905852,0.01712270846839991,1.1642641038537487e-05,0.017680178236874695,0.015872619856810426
595,0.11923389434814453,0.0012660503387451171,0.1370853609244959,0.13777860784427792,0.001,"(40, 40)",7,"{'rp__n_components': 7, 'NN__hidden_layer_sizes': (40, 40), 'NN__alpha': 0.001}",245,0.11871136251623386,0.11973062681119934,0.12368455173422982,0.11459568182479339,0.14705995017052284,0.14525103499968264,0.17585438344099472,0.18926707617202815,0.12019417501197278,0.12004861941368593,0.029011320115241195,3.151219046195052e-05,0.021916136501022268,0.027872673737102262
596,0.11193294525146484,0.001262664794921875,0.1353651947315568,0.13412958542113476,0.001,"(40, 40)",8,"{'rp__n_components': 8, 'NN__hidden_layer_sizes': (40, 40), 'NN__alpha': 0.001}",264,0.11797989664773813,0.11985160023876326,0.1743394036170787,0.1846012581563262,0.1107748246944233,0.11573121433914665,0.16673049891496985,0.12864966470195513,0.10670366147739921,0.12181418966948253,0.047090958549303764,1.7525954985571036e-05,0.02909104956952637,0.025579089786914356
597,0.13445334434509276,0.0012622356414794921,0.17463209748417027,0.17600855850681896,0.001,"(40, 40)",9,"{'rp__n_components': 9, 'NN__hidden_layer_sizes': (40, 40), 'NN__alpha': 0.001}",27,0.15173515924480038,0.16419468680290975,0.17260005436254944,0.17353513771948514,0.17982154634577807,0.17770949967984642,0.17770396485377632,0.1647838526550397,0.191608078203354,0.19981961567681386,0.02759891533516514,6.268912669961851e-06,0.01306087592186079,0.0129733499213848
598,0.15413165092468262,0.0012810707092285156,0.17682430498407198,0.19045569906262388,0.001,"(40, 40)",10,"{'rp__n_components': 10, 'NN__hidden_layer_sizes': (40, 40), 'NN__alpha': 0.001}",18,0.153502903962238,0.17795150421286507,0.1751267944568483,0.1797952540540705,0.1883773168017044,0.19482308975587836,0.2017440223251018,0.20958447287469809,0.16543205724032217,0.19012417441560747,0.04714169889780448,1.8527685574935286e-05,0.016920063759922607,0.011446344169504309
599,0.11569476127624512,0.0012723922729492188,0.1409976602749352,0.15226818190113597,0.001,"(40, 40)",11,"{'rp__n_components': 11, 'NN__hidden_layer_sizes': (40, 40), 'NN__alpha': 0.001}",212,0.12503144388235035,0.11051218500928466,0.10089468698096822,0.11045407987831983,0.18825132638547767,0.22174307302307653,0.18596293486189183,0.19618216041405379,0.10481860179853604,0.12244941118094509,0.04163308297678246,2.40485766405598e-05,0.03852925241850524,0.04719393922297351
600,0.05293869972229004,0.0008218765258789062,0.12233500482252618,0.11373558861582236,0.0001,"(10,)",2,"{'rp__n_components': 2, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.0001}",405,0.13653646399179195,0.14573731385985247,0.09936592281013897,0.10515187050146484,0.11243532368849461,0.10953945789352566,0.11475218977177402,0.10583966930539442,0.14890107311871634,0.10240963151887446,0.014780039493614321,0.0001255797890817184,0.01781770273473381,0.016161812981336218
601,0.07176785469055176,0.000769662857055664,0.07507502418417906,0.07744252185870017,0.0001,"(10,)",3,"{'rp__n_components': 3, 'NN__hidden_layer_sizes': (10,), 'NN__alpha': 0.0001}",782,0.06380899127714178,0.0673076384112566,0.0679599633742045,0.05905835409719121,0.04979017962585796,0.06653574994717737,0.09330911485896069,0.08983390242248554,0.10095315924399302,0.10447696441539008,0.0141913468586807,1.2266305718830115e-05,0.019044218775706015,0.016994461197308245
